idSubmercado;AttMatriz;Iteradores;1;2;3
3;demanda;10/2024;13922.070800000001;13593.324800000000;11856.772400000000
4;demanda;10/2024;7767.814000000000;7727.616400000000;7087.432400000000
5;demanda;10/2024;0;0;0
6;demanda;10/2024;0;0;0
7;demanda;10/2024;0;0;0
8;demanda;10/2024;0;0;0
1;demanda;11/2024;51565.236400000002;49342.792400000006;40380.446799999998
2;demanda;11/2024;15705.519500000000;14508.921000000000;11229.111499999999
3;demanda;11/2024;14104;13861.280000000001;12271.136000000000
4;demanda;11/2024;7700.400000000000;7721.976000000001;7167.696000000000
5;demanda;11/2024;0;0;0
6;demanda;11/2024;0;0;0
7;demanda;11/2024;0;0;0
8;demanda;11/2024;0;0;0
1;demanda;12/2024;51615.785799999998;49559.015800000001;40829.169799999996
2;demanda;12/2024;15938.841600000000;14565.126399999999;11534.124800000000
3;demanda;12/2024;13957.979400000000;13642.346700000000;12177.187500000000
4;demanda;12/2024;7500.798700000000;7476.995800000000;6932.414299999999
5;demanda;12/2024;0;0;0
6;demanda;12/2024;0;0;0
7;demanda;12/2024;0;0;0
8;demanda;12/2024;0;0;0
