idRestricaoEletrica;idElementoSistema;tipo_elemento;unidadehidraulica;conjuntohidraulico;hidreletrica;termeletrica;demandaEspecial;unidadeTermeletrica;contrato;intercambio;eolica;usina_elevatoria;tipoVariavelRestricaoOperativa;fator_participacao
65;4;hidreletrica;Nenhum;Nenhum;161;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;5;termeletrica;Nenhum;Nenhum;Nenhum;101;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;6;termeletrica;Nenhum;Nenhum;Nenhum;102;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;7;termeletrica;Nenhum;Nenhum;Nenhum;96;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;8;termeletrica;Nenhum;Nenhum;Nenhum;95;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;9;termeletrica;Nenhum;Nenhum;Nenhum;92;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;10;termeletrica;Nenhum;Nenhum;Nenhum;119;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;11;termeletrica;Nenhum;Nenhum;Nenhum;120;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;12;termeletrica;Nenhum;Nenhum;Nenhum;121;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;13;termeletrica;Nenhum;Nenhum;Nenhum;122;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;14;termeletrica;Nenhum;Nenhum;Nenhum;123;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;15;termeletrica;Nenhum;Nenhum;Nenhum;124;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;16;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;8;Nenhum;Nenhum;Nenhum;0
65;17;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;9;Nenhum;Nenhum;Nenhum;0
66;1;hidreletrica;Nenhum;Nenhum;64;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
67;1;hidreletrica;Nenhum;Nenhum;122;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
68;1;hidreletrica;Nenhum;Nenhum;97;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
69;1;hidreletrica;Nenhum;Nenhum;144;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
70;1;hidreletrica;Nenhum;Nenhum;118;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
71;1;hidreletrica;Nenhum;Nenhum;104;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
72;1;hidreletrica;Nenhum;Nenhum;118;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
