idSubmercado;idUsinaNaoSimulada;AttMatriz;Iteradores;1;2;3
3;1;potencia_maxima;07/2022;11482.2732;12397.9715;11755.685300000001
4;1;potencia_minima;07/2022;463.53520000000003;474.9874;459.75159999999994
4;1;potencia_maxima;07/2022;463.53520000000003;474.9874;459.75159999999994
1;1;potencia_minima;08/2022;6583.5598;6358.3105;6254.310900000002
1;1;potencia_maxima;08/2022;6583.5598;6358.3105;6254.310900000002
2;1;potencia_minima;08/2022;1967.1887000000002;2036.6086;2025.4224000000002
2;1;potencia_maxima;08/2022;1967.1887000000002;2036.6086;2025.4224000000002
3;1;potencia_minima;08/2022;12861.392300000001;14021.391000000001;13161.793500000002
3;1;potencia_maxima;08/2022;12861.392300000001;14021.391000000001;13161.793500000002
4;1;potencia_minima;08/2022;502.85679999999996;552.9099;561.386
4;1;potencia_maxima;08/2022;502.85679999999996;552.9099;561.386
1;1;potencia_minima;09/2022;6471.447;5998.831;6102.6579
1;1;potencia_maxima;09/2022;6471.447;5998.831;6102.6579
2;1;potencia_minima;09/2022;2101.4679;2164.6808;2118.6117
2;1;potencia_maxima;09/2022;2101.4679;2164.6808;2118.6117
3;1;potencia_minima;09/2022;12654.8734;14014.4708;13327.9061
3;1;potencia_maxima;09/2022;12654.8734;14014.4708;13327.9061
4;1;potencia_minima;09/2022;587.1161;619.8365;631.6476
4;1;potencia_maxima;09/2022;587.1161;619.8365;631.6476
1;1;potencia_minima;10/2022;6117.080799999999;5643.2357999999995;5692.9310000000005
1;1;potencia_maxima;10/2022;6117.080799999999;5643.2357999999995;5692.9310000000005
2;1;potencia_minima;10/2022;2356.5815;2418.9303;2381.4141
2;1;potencia_maxima;10/2022;2356.5815;2418.9303;2381.4141
3;1;potencia_minima;10/2022;11200.0571;12107.379100000002;11489.1245
3;1;potencia_maxima;10/2022;11200.0571;12107.379100000002;11489.1245
4;1;potencia_minima;10/2022;577.4395;600.072;584.4196
4;1;potencia_maxima;10/2022;577.4395;600.072;584.4196
1;1;potencia_minima;11/2022;6232.9777;5361.4646;5535.0794
1;1;potencia_maxima;11/2022;6232.9777;5361.4646;5535.0794
2;1;potencia_minima;11/2022;2211.8024;2279.6766000000002;2186.5438
2;1;potencia_maxima;11/2022;2211.8024;2279.6766000000002;2186.5438
3;1;potencia_minima;11/2022;10577.000499999998;10709.0226;10213.2368
3;1;potencia_maxima;11/2022;10577.000499999998;10709.0226;10213.2368
4;1;potencia_minima;11/2022;615.7465;638.0554999999999;641.8556
4;1;potencia_maxima;11/2022;615.7465;638.0554999999999;641.8556
1;1;potencia_minima;12/2022;5389.6377;4373.310100000001;4528.3234
1;1;potencia_maxima;12/2022;5389.6377;4373.310100000001;4528.3234
2;1;potencia_minima;12/2022;1832.5131000000001;1936.8305;1873.8232
2;1;potencia_maxima;12/2022;1832.5131000000001;1936.8305;1873.8232
3;1;potencia_minima;12/2022;9967.422799999998;9758.548600000002;9622.8288
3;1;potencia_maxima;12/2022;9967.422799999998;9758.548600000002;9622.8288
4;1;potencia_minima;12/2022;586.3539000000001;611.3516999999999;606.2513
4;1;potencia_maxima;12/2022;586.3539000000001;611.3516999999999;606.2513
1;1;potencia_minima;01/2023;5180.6739;3827.9500000000003;3997.1665000000003
1;1;potencia_maxima;01/2023;5180.6739;3827.9500000000003;3997.1665000000003
2;1;potencia_minima;01/2023;2035.2884;2141.1095;2044.8373000000001
2;1;potencia_maxima;01/2023;2035.2884;2141.1095;2044.8373000000001
3;1;potencia_minima;01/2023;9736.826099999998;9600.045;9521.734799999998
3;1;potencia_maxima;01/2023;9736.826099999998;9600.045;9521.734799999998
4;1;potencia_minima;01/2023;513.5443;508.6482;498.5991
4;1;potencia_maxima;01/2023;513.5443;508.6482;498.5991
1;1;potencia_minima;02/2023;5420.337;4142.2077;4303.4883
1;1;potencia_maxima;02/2023;5420.337;4142.2077;4303.4883
2;1;potencia_minima;02/2023;1919.8086;1990.1543000000001;1845.9065000000003
2;1;potencia_maxima;02/2023;1919.8086;1990.1543000000001;1845.9065000000003
3;1;potencia_minima;02/2023;8181.231000000001;7260.5706;7202.109300000001
3;1;potencia_maxima;02/2023;8181.231000000001;7260.5706;7202.109300000001
4;1;potencia_minima;02/2023;482.23310000000004;485.1079;459.901
4;1;potencia_maxima;02/2023;482.23310000000004;485.1079;459.901
1;1;potencia_minima;03/2023;6137.310299999999;4747.1562;4876.918
1;1;potencia_maxima;03/2023;6137.310299999999;4747.1562;4876.918
2;1;potencia_minima;03/2023;1821.0483;1884.7278;1772.276
2;1;potencia_maxima;03/2023;1821.0483;1884.7278;1772.276
3;1;potencia_minima;03/2023;7379.5765;7007.9490000000005;7090.497500000001
3;1;potencia_maxima;03/2023;7379.5765;7007.9490000000005;7090.497500000001
4;1;potencia_minima;03/2023;451.2496;454.04449999999997;433.8201
4;1;potencia_maxima;03/2023;451.2496;454.04449999999997;433.8201
1;1;potencia_minima;04/2023;7080.8644;6210.3141000000005;6270.3692
1;1;potencia_maxima;04/2023;7080.8644;6210.3141000000005;6270.3692
2;1;potencia_minima;04/2023;1897.6708;1931.8722;1801.9323
2;1;potencia_maxima;04/2023;1897.6708;1931.8722;1801.9323
3;1;potencia_minima;04/2023;8249.4433;8835.8165;8409.6036
3;1;potencia_maxima;04/2023;8249.4433;8835.8165;8409.6036
4;1;potencia_minima;04/2023;459.8832;433.19720000000007;416.5639
4;1;potencia_maxima;04/2023;459.8832;433.19720000000007;416.5639
1;1;potencia_minima;05/2023;7678.4871;7118.428399999999;6917.9972
1;1;potencia_maxima;05/2023;7678.4871;7118.428399999999;6917.9972
2;1;potencia_minima;05/2023;1977.7771;2037.9605999999999;2034.4047
2;1;potencia_maxima;05/2023;1977.7771;2037.9605999999999;2034.4047
3;1;potencia_minima;05/2023;9602.1003;11022.8925;10473.431400000001
3;1;potencia_maxima;05/2023;9602.1003;11022.8925;10473.431400000001
4;1;potencia_minima;05/2023;450.8574;432.32730000000004;416.93420000000003
4;1;potencia_maxima;05/2023;450.8574;432.32730000000004;416.93420000000003
1;1;potencia_minima;06/2023;7539.5203;7065.5478;6945.8661
1;1;potencia_maxima;06/2023;7539.5203;7065.5478;6945.8661
2;1;potencia_minima;06/2023;2315.5103;2361.4764999999998;2323.2203000000004
2;1;potencia_maxima;06/2023;2315.5103;2361.4764999999998;2323.2203000000004
3;1;potencia_minima;06/2023;11813.416099999999;13260.7575;12709.598800000002
3;1;potencia_maxima;06/2023;11813.416099999999;13260.7575;12709.598800000002
