idRestricaoEletrica;AttMatriz;Iteradores;1;2;3
4;potencia_minima;04/2022;0;0;0
4;potencia_minima;05/2022;0;0;0
4;potencia_minima;06/2022;0;0;0
4;potencia_minima;07/2022;0;0;0
4;potencia_minima;08/2022;0;0;0
4;potencia_minima;09/2022;0;0;0
4;potencia_minima;10/2022;0;0;0
4;potencia_minima;11/2022;0;0;0
4;potencia_minima;12/2022;0;0;0
4;potencia_minima;01/2023;0;0;0
4;potencia_minima;02/2023;0;0;0
4;potencia_minima;03/2023;0;0;0
4;potencia_minima;04/2023;0;0;0
4;potencia_minima;05/2023;0;0;0
4;potencia_minima;06/2023;0;0;0
4;potencia_minima;07/2023;0;0;0
4;potencia_minima;08/2023;0;0;0
4;potencia_minima;09/2023;0;0;0
4;potencia_minima;10/2023;0;0;0
4;potencia_minima;11/2023;0;0;0
4;potencia_minima;12/2023;0;0;0
4;potencia_minima;01/2024;0;0;0
4;potencia_minima;02/2024;0;0;0
4;potencia_minima;03/2024;0;0;0
4;potencia_minima;04/2024;0;0;0
4;potencia_minima;05/2024;0;0;0
4;potencia_minima;06/2024;0;0;0
4;potencia_minima;07/2024;0;0;0
4;potencia_minima;08/2024;0;0;0
4;potencia_minima;09/2024;0;0;0
4;potencia_minima;10/2024;0;0;0
4;potencia_minima;11/2024;0;0;0
4;potencia_minima;12/2024;0;0;0
5;potencia_maxima;01/2020;99999;99999;99999
5;potencia_maxima;02/2020;99999;99999;99999
5;potencia_maxima;03/2020;99999;99999;99999
5;potencia_maxima;04/2020;99999;99999;99999
5;potencia_maxima;05/2020;99999;99999;99999
5;potencia_maxima;06/2020;99999;99999;99999
5;potencia_maxima;07/2020;99999;99999;99999
5;potencia_maxima;08/2020;99999;99999;99999
5;potencia_maxima;09/2020;99999;99999;99999
5;potencia_maxima;10/2020;99999;99999;99999
5;potencia_maxima;11/2020;99999;99999;99999
5;potencia_maxima;12/2020;99999;99999;99999
5;potencia_maxima;01/2021;99999;99999;99999
5;potencia_maxima;02/2021;99999;99999;99999
5;potencia_maxima;03/2021;99999;99999;99999
5;potencia_maxima;04/2021;99999;99999;99999
5;potencia_maxima;05/2021;99999;99999;99999
5;potencia_maxima;06/2021;99999;99999;99999
5;potencia_maxima;07/2021;99999;99999;99999
5;potencia_maxima;08/2021;99999;99999;99999
5;potencia_maxima;09/2021;99999;99999;99999
5;potencia_maxima;10/2021;99999;99999;99999
5;potencia_maxima;11/2021;99999;99999;99999
5;potencia_maxima;12/2021;99999;99999;99999
5;potencia_maxima;01/2022;99999;99999;99999
5;potencia_maxima;02/2022;99999;99999;99999
5;potencia_maxima;03/2022;99999;99999;99999
5;potencia_maxima;04/2022;99999;99999;99999
5;potencia_maxima;05/2022;99999;99999;99999
5;potencia_maxima;06/2022;99999;99999;99999
5;potencia_maxima;07/2022;99999;99999;99999
5;potencia_maxima;08/2022;99999;99999;99999
5;potencia_maxima;09/2022;99999;99999;99999
5;potencia_maxima;10/2022;99999;99999;99999
5;potencia_maxima;11/2022;99999;99999;99999
5;potencia_maxima;12/2022;99999;99999;99999
5;potencia_maxima;01/2023;99999;99999;99999
5;potencia_maxima;02/2023;99999;99999;99999
5;potencia_maxima;03/2023;99999;99999;99999
5;potencia_maxima;04/2023;99999;99999;99999
5;potencia_maxima;05/2023;99999;99999;99999
5;potencia_maxima;06/2023;99999;99999;99999
5;potencia_maxima;07/2023;99999;99999;99999
5;potencia_maxima;08/2023;99999;99999;99999
5;potencia_maxima;09/2023;99999;99999;99999
5;potencia_maxima;10/2023;99999;99999;99999
5;potencia_maxima;11/2023;99999;99999;99999
5;potencia_maxima;12/2023;99999;99999;99999
5;potencia_maxima;01/2024;99999;99999;99999
5;potencia_maxima;02/2024;99999;99999;99999
5;potencia_maxima;03/2024;99999;99999;99999
5;potencia_maxima;04/2024;99999;99999;99999
5;potencia_maxima;05/2024;99999;99999;99999
5;potencia_maxima;06/2024;99999;99999;99999
5;potencia_maxima;07/2024;99999;99999;99999
5;potencia_maxima;08/2024;99999;99999;99999
5;potencia_maxima;09/2024;99999;99999;99999
5;potencia_maxima;10/2024;99999;99999;99999
5;potencia_maxima;11/2024;99999;99999;99999
5;potencia_maxima;12/2024;99999;99999;99999
5;potencia_minima;01/2020;0;0;0
5;potencia_minima;02/2020;0;0;0
5;potencia_minima;03/2020;0;0;0
5;potencia_minima;04/2020;0;0;0
5;potencia_minima;05/2020;0;0;0
5;potencia_minima;06/2020;0;0;0
5;potencia_minima;07/2020;0;0;0
5;potencia_minima;08/2020;0;0;0
5;potencia_minima;09/2020;0;0;0
5;potencia_minima;10/2020;0;0;0
5;potencia_minima;11/2020;0;0;0
5;potencia_minima;12/2020;0;0;0
5;potencia_minima;01/2021;0;0;0
5;potencia_minima;02/2021;0;0;0
5;potencia_minima;03/2021;0;0;0
5;potencia_minima;04/2021;0;0;0
5;potencia_minima;05/2021;0;0;0
5;potencia_minima;06/2021;0;0;0
5;potencia_minima;07/2021;0;0;0
5;potencia_minima;08/2021;0;0;0
5;potencia_minima;09/2021;0;0;0
5;potencia_minima;10/2021;0;0;0
5;potencia_minima;11/2021;0;0;0
5;potencia_minima;12/2021;0;0;0
5;potencia_minima;01/2022;0;0;0
5;potencia_minima;02/2022;0;0;0
5;potencia_minima;03/2022;0;0;0
5;potencia_minima;04/2022;0;0;0
5;potencia_minima;05/2022;0;0;0
5;potencia_minima;06/2022;0;0;0
5;potencia_minima;07/2022;0;0;0
5;potencia_minima;08/2022;0;0;0
5;potencia_minima;09/2022;0;0;0
5;potencia_minima;10/2022;0;0;0
5;potencia_minima;11/2022;0;0;0
5;potencia_minima;12/2022;0;0;0
5;potencia_minima;01/2023;0;0;0
5;potencia_minima;02/2023;0;0;0
5;potencia_minima;03/2023;0;0;0
5;potencia_minima;04/2023;0;0;0
5;potencia_minima;05/2023;0;0;0
5;potencia_minima;06/2023;0;0;0
5;potencia_minima;07/2023;0;0;0
5;potencia_minima;08/2023;0;0;0
5;potencia_minima;09/2023;0;0;0
5;potencia_minima;10/2023;0;0;0
5;potencia_minima;11/2023;0;0;0
5;potencia_minima;12/2023;0;0;0
5;potencia_minima;01/2024;0;0;0
5;potencia_minima;02/2024;0;0;0
5;potencia_minima;03/2024;0;0;0
5;potencia_minima;04/2024;0;0;0
5;potencia_minima;05/2024;0;0;0
5;potencia_minima;06/2024;0;0;0
5;potencia_minima;07/2024;0;0;0
5;potencia_minima;08/2024;0;0;0
5;potencia_minima;09/2024;0;0;0
5;potencia_minima;10/2024;0;0;0
5;potencia_minima;11/2024;0;0;0
5;potencia_minima;12/2024;0;0;0
6;potencia_maxima;01/2020;6000;6000;5700
6;potencia_maxima;02/2020;6000;6000;5700
6;potencia_maxima;03/2020;6000;6000;5700
6;potencia_maxima;04/2020;6000;6000;5700
6;potencia_maxima;05/2020;6000;6000;5700
6;potencia_maxima;06/2020;6000;6000;5700
6;potencia_maxima;07/2020;6000;6000;5700
6;potencia_maxima;08/2020;6000;6000;5700
6;potencia_maxima;09/2020;6000;6000;5700
6;potencia_maxima;10/2020;6000;6000;5700
6;potencia_maxima;11/2020;6000;6000;5700
6;potencia_maxima;12/2020;6000;6000;5700
6;potencia_maxima;01/2021;6000;6000;5700
6;potencia_maxima;02/2021;6000;6000;5700
6;potencia_maxima;03/2021;6000;6000;5700
6;potencia_maxima;04/2021;6000;6000;5700
6;potencia_maxima;05/2021;6000;6000;5700
6;potencia_maxima;06/2021;6000;6000;5700
6;potencia_maxima;07/2021;6000;6000;5700
6;potencia_maxima;08/2021;6000;6000;5700
6;potencia_maxima;09/2021;6000;6000;5700
6;potencia_maxima;10/2021;6000;6000;6000
6;potencia_maxima;11/2021;6000;6000;6000
6;potencia_maxima;12/2021;6000;6000;6000
6;potencia_maxima;01/2022;6000;6000;5700
6;potencia_maxima;02/2022;6000;6000;5700
6;potencia_maxima;03/2022;6000;6000;5700
