idTermeletrica;AttMatriz;Iteradores;1;2;3
56;potencia_disponivel_minima;01/2020;22.400000000000;22.400000000000;22.400000000000
56;potencia_disponivel_maxima;01/2020;22.400000000000;22.400000000000;22.400000000000
57;potencia_disponivel_maxima;01/2020;174;174;174
57;potencia_minima;01/2020;0;0;0
57;potencia_disponivel_minima;01/2020;0;0;0
57;custo_de_operacao;01/2020;616.830000000000;616.830000000000;616.830000000000
57;potencia_util;01/2020;174;174;174
58;custo_de_operacao;01/2020;698.240000000000;698.240000000000;698.240000000000
58;potencia_util;01/2020;142.500000000000;142.500000000000;142.500000000000
58;potencia_minima;01/2020;0;0;0
58;potencia_disponivel_minima;01/2020;0;0;0
58;potencia_disponivel_maxima;01/2020;142.500000000000;142.500000000000;142.500000000000
59;potencia_disponivel_maxima;01/2020;49.700000000000;49.700000000000;49.700000000000
59;potencia_disponivel_minima;01/2020;0;0;0
59;custo_de_operacao;01/2020;712.040000000000;712.040000000000;712.040000000000
59;potencia_util;01/2020;49.700000000000;49.700000000000;49.700000000000
59;potencia_minima;01/2020;0;0;0
60;custo_de_operacao;01/2020;716.620000000000;716.620000000000;716.620000000000
60;potencia_util;01/2020;152.700000000000;152.700000000000;152.700000000000
60;potencia_minima;01/2020;0;0;0
60;potencia_disponivel_minima;01/2020;0;0;0
60;potencia_disponivel_maxima;01/2020;152.700000000000;152.700000000000;152.700000000000
61;custo_de_operacao;01/2020;716.620000000000;716.620000000000;716.620000000000
61;potencia_util;01/2020;152.700000000000;152.700000000000;152.700000000000
61;potencia_minima;01/2020;0;0;0
61;potencia_disponivel_minima;01/2020;0;0;0
61;potencia_disponivel_maxima;01/2020;152.700000000000;152.700000000000;152.700000000000
62;potencia_disponivel_maxima;01/2020;169;169;169
62;potencia_disponivel_minima;01/2020;0;0;0
62;potencia_minima;01/2020;0;0;0
62;potencia_util;01/2020;169;169;169
62;custo_de_operacao;01/2020;720.770000000000;720.770000000000;720.770000000000
63;custo_de_operacao;01/2020;729.440000000000;729.440000000000;729.440000000000
63;potencia_util;01/2020;28;28;28
63;potencia_minima;01/2020;0;0;0
63;potencia_disponivel_minima;01/2020;0;0;0
63;potencia_disponivel_maxima;01/2020;28;28;28
64;custo_de_operacao;01/2020;730.110000000000;730.110000000000;730.110000000000
64;potencia_util;01/2020;369.900000000000;369.900000000000;369.900000000000
64;potencia_minima;01/2020;0;0;0
64;potencia_disponivel_minima;01/2020;0;0;0
64;potencia_disponivel_maxima;01/2020;369.900000000000;369.900000000000;369.900000000000
65;potencia_disponivel_minima;01/2020;0;0;0
65;potencia_minima;01/2020;0;0;0
65;potencia_disponivel_maxima;01/2020;130;130;130
65;custo_de_operacao;01/2020;817.350000000000;817.350000000000;817.350000000000
65;potencia_util;01/2020;130;130;130
66;custo_de_operacao;01/2020;817.350000000000;817.350000000000;817.350000000000
66;potencia_util;01/2020;130;130;130
66;potencia_minima;01/2020;0;0;0
66;potencia_disponivel_minima;01/2020;0;0;0
66;potencia_disponivel_maxima;01/2020;130;130;130
67;potencia_disponivel_maxima;01/2020;0;0;0
67;potencia_disponivel_minima;01/2020;0;0;0
67;potencia_util;01/2020;0;0;0
67;custo_de_operacao;01/2020;1009.780000000000;1009.780000000000;1009.780000000000
67;potencia_minima;01/2020;0;0;0
68;potencia_disponivel_maxima;01/2020;0;0;0
68;custo_de_operacao;01/2020;1009.780000000000;1009.780000000000;1009.780000000000
68;potencia_util;01/2020;0;0;0
68;potencia_minima;01/2020;0;0;0
68;potencia_disponivel_minima;01/2020;0;0;0
69;potencia_disponivel_maxima;01/2020;0;0;0
69;potencia_disponivel_minima;01/2020;0;0;0
69;potencia_minima;01/2020;0;0;0
69;custo_de_operacao;01/2020;1009.780000000000;1009.780000000000;1009.780000000000
69;potencia_util;01/2020;0;0;0
70;custo_de_operacao;01/2020;1009.780000000000;1009.780000000000;1009.780000000000
70;potencia_util;01/2020;0;0;0
70;potencia_minima;01/2020;0;0;0
70;potencia_disponivel_minima;01/2020;0;0;0
70;potencia_disponivel_maxima;01/2020;0;0;0
71;custo_de_operacao;01/2020;1009.780000000000;1009.780000000000;1009.780000000000
71;potencia_util;01/2020;0;0;0
71;potencia_minima;01/2020;0;0;0
71;potencia_disponivel_minima;01/2020;0;0;0
71;potencia_disponivel_maxima;01/2020;0;0;0
72;potencia_disponivel_minima;01/2020;0;0;0
72;potencia_minima;01/2020;0;0;0
72;potencia_disponivel_maxima;01/2020;0;0;0
72;custo_de_operacao;01/2020;1009.780000000000;1009.780000000000;1009.780000000000
72;potencia_util;01/2020;0;0;0
73;potencia_disponivel_maxima;01/2020;0;0;0
73;potencia_disponivel_minima;01/2020;0;0;0
73;custo_de_operacao;01/2020;1009.780000000000;1009.780000000000;1009.780000000000
73;potencia_util;01/2020;0;0;0
73;potencia_minima;01/2020;0;0;0
74;custo_de_operacao;01/2020;1009.780000000000;1009.780000000000;1009.780000000000
74;potencia_util;01/2020;0;0;0
74;potencia_disponivel_minima;01/2020;0;0;0
74;potencia_disponivel_maxima;01/2020;0;0;0
74;potencia_minima;01/2020;0;0;0
75;custo_de_operacao;01/2020;1009.780000000000;1009.780000000000;1009.780000000000
75;potencia_util;01/2020;0;0;0
75;potencia_minima;01/2020;0;0;0
75;potencia_disponivel_minima;01/2020;0;0;0
75;potencia_disponivel_maxima;01/2020;0;0;0
76;potencia_disponivel_maxima;01/2020;0;0;0
76;potencia_disponivel_minima;01/2020;0;0;0
76;potencia_util;01/2020;0;0;0
76;custo_de_operacao;01/2020;1009.780000000000;1009.780000000000;1009.780000000000
76;potencia_minima;01/2020;0;0;0
77;custo_de_operacao;01/2020;1009.780000000000;1009.780000000000;1009.780000000000
77;potencia_util;01/2020;0;0;0
77;potencia_minima;01/2020;0;0;0
77;potencia_disponivel_minima;01/2020;0;0;0
77;potencia_disponivel_maxima;01/2020;0;0;0
78;custo_de_operacao;01/2020;1165.820000000000;1165.820000000000;1165.820000000000
78;potencia_util;01/2020;128;128;128
78;potencia_minima;01/2020;0;0;0
78;potencia_disponivel_minima;01/2020;0;0;0
78;potencia_disponivel_maxima;01/2020;128;128;128
79;potencia_disponivel_minima;01/2020;0;0;0
79;potencia_minima;01/2020;0;0;0
79;potencia_disponivel_maxima;01/2020;112;112;112
79;custo_de_operacao;01/2020;1165.820000000000;1165.820000000000;1165.820000000000
79;potencia_util;01/2020;112;112;112
80;custo_de_operacao;01/2020;1221.880000000000;1221.880000000000;1221.880000000000
80;potencia_util;01/2020;54.800000000000;54.800000000000;54.800000000000
80;potencia_minima;01/2020;0;0;0
80;potencia_disponivel_minima;01/2020;0;0;0
80;potencia_disponivel_maxima;01/2020;54.800000000000;54.800000000000;54.800000000000
81;potencia_disponivel_maxima;01/2020;53.100000000000;53.100000000000;53.100000000000
81;potencia_disponivel_minima;01/2020;0;0;0
81;potencia_minima;01/2020;0;0;0
81;custo_de_operacao;01/2020;1221.890000000000;1221.890000000000;1221.890000000000
81;potencia_util;01/2020;53.100000000000;53.100000000000;53.100000000000
82;custo_de_operacao;01/2020;1279.070000000000;1279.070000000000;1279.070000000000
82;potencia_util;01/2020;132;132;132
82;potencia_minima;01/2020;0;0;0
82;potencia_disponivel_minima;01/2020;0;0;0
