idHidreletrica;idAfluencia;AttMatriz;Iteradores;02/2019;03/2019;04/2019;05/2019;06/2019;07/2019;08/2019;09/2019;10/2019;11/2019;12/2019
141;vazao_afluente;natural_tendencia;1;262;394;535;413;269;188;145;111;129;139;133
142;vazao_afluente;natural_tendencia;1;11254;19202;23740;12501;5212;2848;1789;1328;1755;2227;3473
143;vazao_afluente;natural_tendencia;1;152;140;142;96;76;65;57;62;76;76;106
144;vazao_afluente;natural_tendencia;1;594;430;857;1647;907;586;375;335;470;522;911
145;vazao_afluente;natural_tendencia;1;294;249;189;98;64;54;50;50;72;93;164
146;vazao_afluente;natural_tendencia;1;1258;1206;848;410;184;79;50;37;112;235;485
147;vazao_afluente;natural_tendencia;1;1613;1266;1760;2861;1918;1312;977;523;316;329;583
148;vazao_afluente;natural_tendencia;1;101;100;91;82;73;70;68;66;70;79;82
149;vazao_afluente;natural_tendencia;1;17;11;31;23;15;10;27;15;7;10;26
150;vazao_afluente;natural_tendencia;1;1625;1279;1770;2885;1935;1323;986;528;319;332;587
151;vazao_afluente;natural_tendencia;1;39481;42764;36611;29346;21201;11102;6186;3761;5533;8386;18714
152;vazao_afluente;natural_tendencia;1;1197;873;1435;2556;2077;1389;979;551;349;247;412
153;vazao_afluente;natural_tendencia;1;39776;43410;37501;29968;21860;11529;6378;3847;5527;8420;18543
154;vazao_afluente;natural_tendencia;1;0;0;0;0;0;0;0;0;0;0;0
155;vazao_afluente;natural_tendencia;1;83;81;87;72;58;54;55;51;55;61;78
156;vazao_afluente;natural_tendencia;1;103;110;95;80;62;56;49;44;49;61;68
157;vazao_afluente;natural_tendencia;1;103;110;95;80;62;56;49;44;49;61;68
158;vazao_afluente;natural_tendencia;1;512;566;495;395;217;121;69;47;74;129;386
159;vazao_afluente;natural_tendencia;1;230;278;265;189;126;105;83;66;78;102;200
160;vazao_afluente;natural_tendencia;1;239;290;275;197;132;110;87;69;81;105;209
161;vazao_afluente;natural_tendencia;1;9893;15597;19051;13661;6935;2918;1441;890;920;1662;2900
162;vazao_afluente;natural_tendencia;1;255;311;294;212;141;118;93;74;87;111;224
