idIntercambio;AttMatriz;Iteradores;1;2;3
13;potencia_maxima;10/2020;4000;4000;4000
13;potencia_minima;10/2020;0;0;0
14;potencia_maxima;10/2020;2000;2000;2000
14;potencia_minima;10/2020;0;0;0
15;potencia_maxima;10/2020;2500;2500;2500
15;potencia_minima;10/2020;0;0;0
16;potencia_maxima;10/2020;6000;6000;6000
16;potencia_minima;10/2020;0;0;0
17;potencia_minima;10/2020;0;0;0
17;potencia_maxima;10/2020;2500;2500;2500
1;potencia_minima;11/2020;0;0;0
1;potencia_maxima;11/2020;11100;11100;10500
2;potencia_minima;11/2020;0;0;0
2;potencia_maxima;11/2020;8520;8520;9320
3;potencia_maxima;11/2020;10200;10200;11000
3;potencia_minima;11/2020;0;0;0
4;potencia_minima;11/2020;0;0;0
4;potencia_maxima;11/2020;6500;6500;6800
5;potencia_maxima;11/2020;99999;99999;99999
5;potencia_minima;11/2020;0;0;0
6;potencia_minima;11/2020;4182;4127;3667
6;potencia_maxima;11/2020;7000;7000;7000
7;potencia_minima;11/2020;1680;1680;1680
7;potencia_maxima;11/2020;7000;7000;7000
8;potencia_minima;11/2020;0;0;0
8;potencia_maxima;11/2020;99999;99999;99999
9;potencia_minima;11/2020;0;0;0
9;potencia_maxima;11/2020;99999;99999;99999
10;potencia_maxima;11/2020;4500;4500;4500
10;potencia_minima;11/2020;0;0;0
11;potencia_maxima;11/2020;5500;5500;5500
11;potencia_minima;11/2020;0;0;0
12;potencia_minima;11/2020;0;0;0
12;potencia_maxima;11/2020;4000;4000;4000
13;potencia_maxima;11/2020;4000;4000;4000
13;potencia_minima;11/2020;0;0;0
14;potencia_maxima;11/2020;2000;2000;2000
14;potencia_minima;11/2020;0;0;0
15;potencia_maxima;11/2020;2500;2500;2500
15;potencia_minima;11/2020;0;0;0
16;potencia_maxima;11/2020;6000;6000;6000
16;potencia_minima;11/2020;0;0;0
17;potencia_minima;11/2020;0;0;0
17;potencia_maxima;11/2020;2500;2500;2500
1;potencia_minima;12/2020;0;0;0
1;potencia_maxima;12/2020;10900;10900;10900
2;potencia_minima;12/2020;0;0;0
